INFO 2025-02-25 00:21:58,455 [Thread: 2136] [utilities - validate_xrp_wallet:65] Classic Address: r3po3SnWLsxifM3CaT34e1vWBp1Mroq8Lh
INFO 2025-02-25 00:21:59,697 [Thread: 2136] [account_offers - get_account_offers:94] Found 2 offers for wallet r3po3SnWLsxifM3CaT34e1vWBp1Mroq8Lh.
INFO 2025-02-25 00:21:59,699 [Thread: 2136] [account_offers - get_account_offers:127] Leaving: get_account_offers. Total execution time in ms: 1244
INFO 2025-02-25 00:22:09,958 [Thread: 2136] [account_offers - cancel_account_offers:174] Entering: cancel_account_offers
INFO 2025-02-25 00:22:10,554 [Thread: 2136] [account_offers - cancel_account_offers:190] Sender wallet retrieved: r3po3SnWLsxifM3CaT34e1vWBp1Mroq8Lh Sender Address Balance: 99999950
INFO 2025-02-25 00:22:10,554 [Thread: 2136] [account_offers - get_account_offers:61] Entering: get_account_offers
INFO 2025-02-25 00:22:10,554 [Thread: 2136] [utilities - validate_xrp_wallet:65] Classic Address: r3po3SnWLsxifM3CaT34e1vWBp1Mroq8Lh
INFO 2025-02-25 00:22:11,713 [Thread: 2136] [account_offers - get_account_offers:94] Found 2 offers for wallet r3po3SnWLsxifM3CaT34e1vWBp1Mroq8Lh.
INFO 2025-02-25 00:22:11,715 [Thread: 2136] [account_offers - get_account_offers:127] Leaving: get_account_offers. Total execution time in ms: 1161
INFO 2025-02-25 00:22:13,295 [Thread: 2136] [account_offers - cancel_account_offers:232] Fetched network fee: 10
INFO 2025-02-25 00:22:19,151 [Thread: 2136] [account_offers - cancel_account_offers:250] Offer 5015950 cancelled successfully.
ERROR 2025-02-25 00:22:19,160 [Thread: 2136] [account_offers_db_operations - save_offer_cancel_response:66] Unexpected exception caught saving transaction history data: no such table: xrpl_offer_cancel_data
INFO 2025-02-25 00:22:19,161 [Thread: 2136] [account_offers - cancel_account_offers:265] Leaving: cancel_account_offers. Total execution time in ms: 9203
